date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14
2025-03-24,4467.0,4471.0,4382.0,4382.0,7003000,4197.89,4162.63,4077.03,3887.95,3449.69,58.3,42.15,20.49,21.66,4258.53,4047.29,3836.05,231.17
2025-03-25,4410.0,4414.0,4303.0,4319.0,7318400,4137.53,4180.64,4076.84,3895.53,3454.34,54.59,42.39,24.87,17.52,4265.15,4050.5,3835.85,230.09
2025-03-26,4337.0,4355.0,4291.0,4355.0,7655700,4172.02,4189.07,4077.03,3902.83,3459.16,56.3,44.84,28.86,15.97,4274.71,4054.33,3833.95,229.19
2025-03-27,4350.0,4415.0,4326.0,4415.0,10120300,4229.5,4204.02,4076.84,3909.67,3464.29,59.07,50.83,33.26,17.57,4297.27,4065.97,3834.68,230.18
2025-03-28,4344.0,4345.0,4223.0,4240.0,11951300,4132.05,4173.8,4071.75,3914.63,3468.72,52.95,47.17,36.04,11.13,4301.49,4068.48,3835.47,222.45
2025-03-31,4100.0,4140.0,4021.0,4051.0,12428700,3947.86,4123.79,4062.59,3918.61,3471.87,43.72,29.08,34.65,-5.57,4303.02,4065.79,3828.56,215.06
2025-04-01,4121.0,4151.0,4021.0,4049.0,9757800,3945.91,4085.47,4057.49,3922.37,3474.97,43.63,14.41,30.6,-16.19,4302.67,4059.76,3816.85,214.21
2025-04-02,4048.0,4048.0,3969.0,4011.0,8258000,3908.88,4032.84,4050.03,3925.77,3477.78,41.93,-0.2,24.44,-24.64,4303.1,4051.58,3800.07,206.2
2025-04-03,3731.0,3796.0,3628.0,3692.0,27866000,3598.0,3906.54,4034.09,3924.9,3478.56,31.01,-36.44,12.27,-48.7,4350.37,4030.31,3710.24,211.53
2025-04-04,3434.0,3447.0,3175.0,3277.0,42288200,3193.56,3718.84,3998.55,3918.79,3476.73,22.72,-96.68,-9.52,-87.16,4466.51,3984.26,3502.0,226.64
