date,open,high,low,close,volume,adj_close
2026-03-04,920.0,934.4,911.8,927.7,5846500,927.7
2026-03-05,942.7,950.4,929.4,930.4,4937300,930.4
2026-03-06,915.4,928.7,913.5,925.9,3054200,925.9
2026-03-09,899.8,917.0,890.2,912.7,7859300,912.7
2026-03-10,927.7,934.6,919.5,922.7,3901700,922.7
2026-03-11,934.9,938.5,923.3,923.3,3247900,923.3
2026-03-12,920.0,924.7,906.8,913.6,4170200,913.6
2026-03-13,908.6,921.8,905.6,908.2,3564200,908.2
2026-03-16,908.3,910.0,898.1,901.3,3214000,901.3
2026-03-17,904.0,915.0,903.0,907.6,2285900,907.6
2026-03-18,909.0,917.1,908.0,914.1,3437800,914.1
2026-03-19,903.4,908.0,875.3,875.3,8403300,875.3
2026-03-23,864.9,865.0,850.0,854.0,7471700,854.0
2026-03-24,870.3,872.9,862.9,866.8,4619400,866.8
2026-03-25,886.8,887.0,871.7,872.7,4287900,872.7
2026-03-26,857.7,864.3,851.3,861.1,5635200,861.1
2026-03-27,862.0,875.0,861.1,871.2,5424300,871.2
2026-03-30,830.0,840.8,824.0,838.3,5476900,838.3
2026-03-31,843.0,855.2,836.3,847.3,4577400,847.3
2026-04-01,860.0,860.8,843.0,853.8,6153500,853.8
2026-04-02,859.8,867.5,844.3,847.2,4344400,847.2
2026-04-03,844.6,856.1,844.3,852.5,3573100,852.5
2026-04-06,853.0,857.8,849.6,851.1,3112600,851.1
2026-04-07,854.5,858.1,846.6,846.9,3468100,846.9
2026-04-08,858.1,863.2,850.1,858.1,5718700,858.1
2026-04-09,866.2,869.8,855.0,855.0,3472000,855.0
2026-04-10,850.7,854.3,848.4,849.0,4326500,849.0
2026-04-13,849.0,856.0,847.7,852.8,4305100,852.8
2026-04-14,852.8,857.4,850.0,852.1,3473200,852.1
2026-04-15,845.7,854.3,844.2,849.7,3932300,849.7
2026-04-16,849.0,855.5,848.0,850.6,4812500,850.6
2026-04-17,850.6,852.7,842.1,842.1,4314900,842.1
2026-04-20,848.0,852.1,839.5,841.4,4718400,841.4
2026-04-21,839.8,845.0,835.7,837.1,3921200,837.1
2026-04-22,837.3,843.3,833.6,833.6,2990500,833.6
2026-04-23,826.5,826.8,815.0,820.4,5059400,820.4
2026-04-24,825.0,826.8,818.8,822.2,3016400,822.2
2026-04-27,822.2,826.5,815.2,815.2,3970300,815.2
2026-04-28,815.2,825.8,815.2,825.8,3851900,825.8
2026-04-30,815.6,825.9,813.3,822.5,4309500,822.5
2026-05-01,822.8,829.3,818.2,824.7,3194600,824.7
2026-05-07,822.5,839.2,821.5,833.6,5218600,833.6
2026-05-08,838.0,844.0,826.9,829.2,4290700,829.2
2026-05-11,826.1,831.8,817.6,822.0,3546700,822.0
2026-05-12,822.0,835.0,820.0,830.0,3739000,830.0
2026-05-13,831.8,844.6,830.9,835.8,3422600,835.8
2026-05-14,838.8,849.5,833.7,841.8,5319700,841.8
2026-05-15,838.8,858.0,805.7,857.0,9304700,857.0
2026-05-18,851.2,853.7,810.0,810.0,7101000,810.0
2026-05-19,825.0,829.6,809.1,815.1,6241200,815.1
2026-05-20,820.0,820.0,799.0,806.6,5082400,806.6
2026-05-21,820.0,821.0,793.2,793.2,5327100,793.2
2026-05-22,795.0,796.0,777.1,777.1,5529200,777.1
2026-05-25,782.0,783.6,771.0,775.8,4363400,775.8
2026-05-26,771.9,778.1,767.8,770.7,3767100,770.7
2026-05-27,769.3,786.3,768.6,780.3,4917500,780.3
2026-05-28,788.7,797.7,785.5,790.5,4485400,790.5
2026-05-29,789.2,789.9,779.6,782.2,5235200,782.2
2026-06-01,782.0,782.0,767.1,770.2,5221200,770.2
2026-06-02,761.8,771.0,754.5,767.9,4386700,767.9
2026-06-03,767.9,783.9,766.6,782.6,3552900,782.6
2026-06-04,779.5,784.0,774.0,774.0,2974900,774.0
2026-06-05,770.5,787.9,768.8,778.9,3980500,778.9
2026-06-08,772.8,785.8,770.5,780.6,3445300,780.6
2026-06-09,781.5,791.7,780.9,787.4,3441800,787.4
2026-06-10,778.0,792.0,770.2,785.2,5631600,785.2
2026-06-11,782.7,787.7,776.7,783.0,3235000,783.0
2026-06-12,793.4,794.4,783.7,791.0,3915300,791.0
2026-06-15,805.0,812.3,797.3,797.3,4182000,797.3
2026-06-16,797.3,800.0,787.2,793.9,3324800,793.9
2026-06-17,800.6,805.9,796.8,799.6,3088900,799.6
2026-06-18,802.0,803.9,797.6,800.3,3285700,800.3
2026-06-19,792.1,805.0,787.6,804.7,11473100,804.7
2026-06-22,800.0,804.0,789.6,799.8,3210200,799.8
2026-06-23,799.6,800.0,785.0,785.5,3506400,785.5
2026-06-24,775.6,783.0,771.3,775.2,3912800,775.2
2026-06-25,790.2,790.9,778.1,781.5,3103100,781.5
2026-06-26,785.0,790.3,782.4,789.4,4279000,789.4
2026-06-29,791.7,805.3,790.7,805.3,12804100,805.3
2026-06-30,805.0,808.0,795.4,795.4,5662800,795.4
2026-07-01,794.0,799.2,790.5,794.6,2893500,794.6
2026-07-02,809.6,816.0,802.5,812.3,3648100,812.3
2026-07-03,820.7,835.0,813.8,814.2,4214500,814.2
2026-07-06,822.5,832.8,816.0,829.7,2789400,829.7
2026-07-07,830.2,831.8,821.5,831.0,3978600,831.0
2026-07-08,828.3,834.3,825.0,829.8,2568700,829.8
2026-07-09,822.2,828.0,820.2,824.8,2779900,824.8
2026-07-10,822.0,824.9,815.0,816.1,2565900,816.1
2026-07-13,823.5,826.0,814.5,815.3,2471000,815.3
2026-07-14,820.7,828.0,814.2,825.0,2698600,825.0
2026-07-15,830.0,831.5,821.0,827.5,3102100,827.5
2026-07-16,830.0,844.1,828.0,838.7,2782200,838.7
2026-07-17,842.3,850.9,836.2,837.3,3567400,837.3
2026-07-21,845.0,857.0,844.0,853.8,3472500,853.8
2026-07-22,850.0,859.6,848.8,857.9,3034400,857.9
2026-07-23,863.7,874.1,861.0,869.2,3706300,869.2
2026-07-24,860.0,865.2,853.0,860.9,3132100,860.9
2026-07-27,873.0,882.4,869.9,882.4,3711600,882.4
2026-07-28,882.0,886.2,873.1,883.0,3117300,883.0
2026-07-29,885.3,898.2,877.5,896.5,5007100,896.5
2026-07-30,890.2,897.5,879.1,892.7,3777900,892.7
2026-07-31,878.0,890.5,873.6,879.8,7998400,879.8
2026-08-03,877.9,877.9,851.0,876.3,4591200,876.3
2026-08-04,880.5,881.4,864.3,872.6,4281600,872.6
2026-08-05,864.3,878.1,842.5,852.3,6806200,852.3
2026-08-06,867.3,875.8,857.8,873.8,4520900,873.8
2026-08-07,874.1,890.0,872.0,885.9,3069700,885.9
2026-08-10,888.0,889.0,874.6,875.6,3799400,875.6
2026-08-12,885.1,889.8,868.0,873.5,3101800,873.5
2026-08-13,870.0,874.6,864.6,871.3,3220600,871.3
2026-08-14,874.0,877.9,870.4,875.6,3124900,875.6
